Information,Record_No,273,Record_No,274,Record_No,275,Record_No,276,Record_No,277,Record_No,278,Record_No,279,Record_No,280,Record_No,281,Record_No,282,Record_No,283,Record_No,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low cut (Hz),0.3,Low cut (Hz),0.3,Low cut (Hz),0.3,Low cut (Hz),0.3,Low cut (Hz),0.3,Low cut (Hz),0.3,Low cut (Hz),0.3,Low cut (Hz),0.3,Low cut (Hz),0.3,Low cut (Hz),0.3,Low cut (Hz),0.3,Low cut (Hz),0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,High cut (Hz),500,High cut (Hz),500,High cut (Hz),500,High cut (Hz),500,High cut (Hz),500,High cut (Hz),500,High cut (Hz),500,High cut (Hz),500,High cut (Hz),500,High cut (Hz),500,High cut (Hz),500,High cut (Hz),500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notch,OFF,Notch,OFF,Notch,OFF,Notch,OFF,Notch,OFF,Notch,OFF,Notch,OFF,Notch,OFF,Notch,OFF,Notch,OFF,Notch,OFF,Notch,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursor #, 273 Time,  273 Amp,  274 Time,  274 Amp,  275 Time,  275 Amp,  276 Time,  276 Amp,  277 Time,  277 Amp,  278 Time,  278 Amp,  279 Time,  279 Amp,  280 Time,  280 Amp,  281 Time,  281 Amp,  282 Time,  282 Amp,  283 Time,  283 Amp,  284 Time,  284 Amp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave Data, 273 Time,  273 Amp,  274 Time,  274 Amp,  275 Time,  275 Amp,  276 Time,  276 Amp,  277 Time,  277 Amp,  278 Time,  278 Amp,  279 Time,  279 Amp,  280 Time,  280 Amp,  281 Time,  281 Amp,  282 Time,  282 Amp,  283 Time,  283 Amp,  284 Time,  284 Amp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-20,3.515797,-20,2.534723,-20,-2.779585,-20,-2.617833,-20,9.920126,-20,5.082845,-20,-1.109777,-20,-4.405007,-20,12.21052,-20,10.60401,0,17.32412,0,11.5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-19.5,3.686213,-19.5,2.720931,-19.5,-3.165715,-19.5,-2.80159,-19.5,10.59977,-19.5,5.195431,-19.5,-1.250167,-19.5,-4.904031,-19.5,13.15007,-19.5,11.44815,1,18.10363,1,12.20175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-19,3.808441,-19,2.902549,-19,-3.662392,-19,-3.004436,-19,10.93331,-19,5.02233,-19,-1.465405,-19,-5.317417,-19,13.88156,-19,12.1018,2,18.71836,2,12.6977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-18.5,4.062226,-18.5,3.078759,-18.5,-4.270344,-18.5,-3.334985,-18.5,11.0211,-18.5,4.708403,-18.5,-1.876792,-18.5,-5.661667,-18.5,14.34225,-18.5,12.12428,3,19.29279,3,13.18983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-18,4.310739,-18,3.265575,-18,-4.824632,-18,-3.558074,-18,11.13163,-18,4.389575,-18,-2.366174,-18,-6.167843,-18,14.79073,-18,12.14686,4,19.75866,4,13.42899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-17.5,4.470657,-17.5,3.450644,-17.5,-5.121674,-17.5,-3.588096,-17.5,11.10216,-17.5,4.159948,-17.5,-2.841687,-17.5,-6.780963,-17.5,15.44295,-17.5,12.46595,5,19.90464,5,13.34678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-17,3.986464,-17,3.005588,-17,-3.325711,-17,-2.425889,-17,10.7257,-17,4.048357,-17,-2.379521,-17,-5.71319,-17,13.93674,-17,11.71019,6,19.03093,6,13.29251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-16.5,4.062181,-16.5,3.143356,-16.5,-5.407097,-16.5,-3.73268,-16.5,10.86298,-16.5,3.929877,-16.5,-2.134292,-16.5,-6.689036,-16.5,14.10478,-16.5,11.4932,7,19.37726,7,13.52409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-16,4.505676,-16,3.392814,-16,-6.083195,-16,-4.411561,-16,10.94025,-16,4.21891,-16,-2.115861,-16,-6.692525,-16,14.17243,-16,11.64241,8,20.38027,8,14.13998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-15.5,4.786223,-15.5,3.33119,-15.5,-5.991578,-15.5,-4.621427,-15.5,11.5727,-15.5,4.79936,-15.5,-3.178633,-15.5,-6.715502,-15.5,15.19368,-15.5,11.75229,9,20.39365,9,13.82034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-15,4.720821,-15,3.667215,-15,-5.776714,-15,-3.975097,-15,11.94983,-15,4.510611,-15,-3.331235,-15,-7.028643,-15,17.13056,-15,13.50516,10,20.51731,10,13.17989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-14.5,4.762577,-14.5,4.163701,-14.5,-4.145744,-14.5,-2.361923,-14.5,10.56152,-14.5,3.452571,-14.5,-3.910581,-14.5,-7.846883,-14.5,18.11952,-14.5,14.69248,11,19.72844,11,12.12385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-14,4.954433,-14,4.048486,-14,-3.123165,-14,-1.461022,-14,9.283867,-14,2.523093,-14,-4.144538,-14,-8.438592,-14,17.06735,-14,13.66973,12,18.73319,12,11.02049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-13.5,4.982748,-13.5,3.716052,-13.5,-4.438786,-13.5,-2.87848,-13.5,8.942903,-13.5,0.7040334,-13.5,-2.895221,-13.5,-8.230769,-13.5,16.24389,-13.5,13.13223,13,15.21196,13,8.364093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-13,4.385822,-13,3.217394,-13,-5.064048,-13,-4.035214,-13,8.935916,-13,0.3480325,-13,-2.692721,-13,-8.296566,-13,17.32704,-13,13.49839,14,13.73115,14,7.491272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-12.5,3.4769,-12.5,2.353885,-12.5,-4.833934,-12.5,-2.967657,-12.5,9.562839,-12.5,2.119548,-12.5,-2.555553,-12.5,-8.266363,-12.5,19.22342,-12.5,14.51639,15,14.10585,15,7.333614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-12,2.998248,-12,1.948699,-12,-5.029379,-12,-2.615455,-12,9.221013,-12,2.568727,-12,-1.270064,-12,-6.998545,-12,20.86726,-12,15.75279,16,13.44762,16,7.119941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-11.5,2.50774,-11.5,1.32924,-11.5,-3.910339,-11.5,-2.110553,-11.5,7.773907,-11.5,2.134062,-11.5,-1.287484,-11.5,-5.604521,-11.5,20.71063,-11.5,15.71848,17,14.21514,17,7.185053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-11,1.60281,-11,-0.2999322,-11,-2.852303,-11,-0.986187,-11,6.128075,-11,0.6494979,-11,-1.887493,-11,-5.573086,-11,20.10588,-11,15.60922,18,15.4074,18,8.357521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-10.5,0.8432989,-10.5,-1.518118,-10.5,-3.528615,-10.5,-1.47552,-10.5,4.268128,-10.5,-1.043465,-10.5,-1.969527,-10.5,-5.602934,-10.5,19.73248,-10.5,14.43222,19,16.11785,19,9.427174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-10,0.4108745,-10,-1.653355,-10,-3.613847,-10,-1.786114,-10,2.908285,-10,-1.931562,-10,-3.067569,-10,-5.122821,-10,18.32793,-10,11.94524,20,16.78327,20,9.990989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-9.5,0.1448315,-9.5,-2.254066,-9.5,-3.501338,-9.5,-2.00322,-9.5,2.835696,-9.5,-2.368575,-9.5,-3.551306,-9.5,-4.828568,-9.5,18.93227,-9.5,12.32931,21,18.51311,21,12.11449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-9,-0.0315944,-9,-2.942855,-9,-4.297706,-9,-2.703025,-9,3.826654,-9,-2.040805,-9,-2.665548,-9,-3.861898,-9,21.39062,-9,14.69035,22,20.16416,22,14.04441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-8.5,-0.1464809,-8.5,-2.379901,-8.5,-3.191588,-8.5,-1.701519,-8.5,4.788454,-8.5,-1.966919,-8.5,-2.186468,-8.5,-2.852431,-8.5,23.23243,-8.5,16.20325,23,21.39384,23,15.46874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-8,0.1737342,-8,-1.896921,-8,-1.702167,-8,-0.507468,-8,4.579605,-8,-2.189469,-8,-2.300518,-8,-3.116184,-8,25.46206,-8,17.99742,24,22.38617,24,16.78694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,-7.5,0.6056007,-7.5,-1.99151,-7.5,-2.178563,-7.5,-1.05091,-7.5,2.797178,-7.5,-2.68366,-7.5,-2.135272,-7.5,-3.372341,-7.5,26.1384,-7.5,19.45606,25,25.18282,25,19.35657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
