Contents Table						Header Table			Marker Table													Summary Table										Stimulus Table				Data Table																																																					
Table	Left	Top	Right	Bottom		Parameter	Value		Group	Name	Cage #	Age	Date	S	C	R	Eye	Name	uV	ms		Subject	Cage #	Step	Result	Eye	Trials	Rejects	Date	Comment		Step	Description	cd.s/m²		Step	Column	Chan	Result	Column	Trials	Step 1	Chan 1		Chan 2		Chan 3		Chan 4		Step 2	Chan 1			Chan 2			Chan 3			Chan 4			Step 3	Chan 1	Chan 2	Chan 3	Chan 4	Step 4	Chan 1	Chan 2	Chan 3	Chan 4	Step 5	Chan 1	Chan 2	Chan 3	Chan 4	Step 6	Chan 1	Chan 2	Chan 3	Chan 4	Step 7	Chan 1	Chan 2	Chan 3	Chan 4	
						Gender	Female		0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	2	1	1	RE	B	25.27	85		ANIMAL PRAC PRAC1		7	1	RE	25	1	3/12/2021 10:43:11 AM							2	52	1	2	54	0	-15.5	1057.220703125	1022.0390625	2279.173828125	-6254.3203125	3689.48461914063	-319.301025390625	-510.064208984375	-1029.88244628906	-15.5	-6885.9501953125	-5939.69970703125	2973.1015625	360.85205078125	-3706.0439453125	3062.1337890625	-10490.412109375	-5909.05224609375	217.205978393555	-2829.25805664063	1266.42724609375	902.294250488281	-15.5	1401.25170898438	4325.68603515625	-2234.3828125	987.083251953125	-15.5	3819.392578125	16700.4140625	1321.2099609375	-5430.314453125	-15.5	11816.1337890625	40557.625	-9517.6630859375	-7772.5908203125	-15.5	12438.52734375	38121.171875	1973.23559570313	-8083.65673828125	-15.5	-7267.6015625	-14378.4296875	-984.880004882813	-1605.40795898438	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	2	1	2	RE	a	-8.785	14																2	52	1	3	55	0	-15	359.34375	235.8828125	4319.74609375	-6009.2265625	1996.51831054688	-627.059814453125	1108.15197753906	-464.644104003906	-15	-6101.33154296875	-3856.681640625	2299.2578125	-1951.7998046875	-2026.6943359375	3357.236328125	-7667.3193359375	-2375.08447265625	-183.883026123047	-3974.93017578125	2652.44580078125	1064.74645996094	-15	771.13330078125	4695.16357421875	-2620.54663085938	1039.14001464844	-15	4816.0234375	15166.9453125	1468.06176757813	-5712.3173828125	-15	11592.7470703125	39470.85546875	-8563.23046875	-8164.7099609375	-15	12824.201171875	38926.3828125	1883.71704101563	-8226.767578125	-15	-6332.46484375	-15357.46875	-318.302642822266	-2595.74462890625	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	2	1	2	RE	B	21.74	84																2	55	2	1	56	0	-14.5	198.587890625	-1517.875	5798.142578125	-4453.609375	777.728576660156	-1691.24719238281	2144.3623046875	924.001647949219	-14.5	-4204.67529296875	-2588.03540039063	1402.9169921875	-4369.71337890625	-1845.9208984375	3404.7587890625	-3837.89086914063	468.719451904297	-782.876342773438	-5089.3193359375	2615.30419921875	655.979370117188	-14.5	1554.97998046875	5525.42578125	-1696.97265625	1030.43981933594	-14.5	4965.4365234375	13397.5048828125	636.62841796875	-6167.05712890625	-14.5	11639.654296875	38906.09765625	-6961.642578125	-7917.56103515625	-14.5	13005.9560546875	41395.34765625	1739.82238769531	-6462.63037109375	-14.5	-5671.33984375	-15601.703125	126.410034179688	-2842.65966796875	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	2	1	3	RE	a	-9.609	32																2	55	2	2	57	0	-14	1327.009765625	-1486.546875	4982.154296875	-2297.1796875	831.712646484375	-1484.53442382813	1149.09338378906	2570.05932617188	-14	-3294.47265625	-2530.00439453125	692.220703125	-4383.203125	-3765.40234375	2141.9736328125	-1180.76318359375	1618.82482910156	-1111.17346191406	-4180.166015625	699.683166503906	-740.805114746094	-14	3683.4228515625	6718.8623046875	326.383728027344	1207.45788574219	-14	4353.513671875	12731.5810546875	-887.617614746094	-5667.6796875	-14	11753.8564453125	39010.6796875	-5451.16650390625	-7050.05126953125	-14	12551.5361328125	41243.125	1146.00634765625	-6357.2421875	-14	-5822.66015625	-15309.28125	-181.484344482422	-2389.96215820313	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	2	1	3	RE	B	14.77	81.5																2	55	2	3	58	0	-13.5	3272.294921875	717.625	2266.373046875	-2276.015625	1762.4482421875	521.691650390625	-1506.462890625	2381.50366210938	-13.5	-2913.1875	-2391.25854492188	615.2900390625	-1769.19970703125	-4526.6083984375	-646.19921875	185.1455078125	1972.68530273438	-793.692565917969	-1016.26684570313	-536.835571289063	-3057.11401367188	-13.5	5348.8916015625	7798.396484375	1846.12487792969	1305.72680664063	-13.5	2453.07690429688	13026.4267578125	-3138.99194335938	-4240.65234375	-13.5	11788.2861328125	40901.890625	-4391.59814453125	-4993.2685546875	-13.5	11533.041015625	37727.7265625	140.271606445313	-9032.99609375	-13.5	-6509.078125	-15398.8671875	-1018.73999023438	-2049.80639648438	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	2	2	1	LE	B	23.58	28																2	58	3	1	59	0	-13	4974.126953125	1917.6328125	369.74609375	-4700.109375	2490.26000976563	1890.58557128906	-3402.23803710938	9.44974517822266	-13	-1445.9306640625	-1714.92211914063	406.3046875	1573.22509765625	-3628.21875	-2732.19580078125	1566.80908203125	2296.62890625	-414.149658203125	2571.8515625	-162.897491455078	-4486.8779296875	-13	5060.89306640625	9344.37109375	1474.97583007813	1645.4482421875	-13	701.966552734375	12094.38671875	-4893.2412109375	-3628.52026367188	-13	12093.7587890625	43676.61328125	-3555.2646484375	-2556.55590820313	-13	10828.2470703125	35918.828125	-551.256958007813	-10693.240234375	-13	-6963.88671875	-16310.6171875	-1646.16625976563	-2349.48095703125	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	2	2	1	LE	a	-10.26	39.5																2	58	3	2	60	0	-12.5	5689.744140625	399.9765625	299.587890625	-7884.125	2211.90625	887.992004394531	-3273.0537109375	-2936.02880859375	-12.5	968.9052734375	19.095947265625	-134.8955078125	3374.857421875	-3159.25	-2551.87646484375	3228.767578125	3203.83520507813	-302.223114013672	4295.48388671875	339.583587646484	-3649.44067382813	-12.5	4531.763671875	10831.1064453125	421.8828125	1868.85864257813	-12.5	-191.845947265625	10412.771484375	-5406.30859375	-3841.50341796875	-12.5	13082.1484375	44467.828125	-2554.52124023438	-2047.79833984375	-12.5	11950.3232421875	37876.63671875	245.054351806641	-9048.0625	-12.5	-7339.330078125	-17204.875	-1971.33203125	-2727.34130859375	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	2	2	2	LE	a	-3.487	37																2	58	3	3	61	0	-12	5304.966796875	-2245.875	96.08203125	-9966.9296875	865.981384277344	-1360.66052246094	-2530.53833007813	-4490.67041015625	-12	3125.9677734375	2690.52392578125	-700.4580078125	3846.859375	-3134.22265625	-1360.53173828125	4351.42529296875	4611.6357421875	-303.447174072266	4004.0341796875	479.571563720703	-1552.24401855469	-12	6008.64599609375	11233.2568359375	731.775756835938	1215.89624023438	-12	-880.772705078125	10832.75390625	-5173.91259765625	-2807.62451171875	-12	13622.439453125	43591.171875	-2097.28173828125	-3462.5966796875	-12	15701.962890625	40306.41796875	3019.92602539063	-6406.55859375	-12	-8047.234375	-16731.9609375	-2292.27734375	-2085.6455078125	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	2	2	2	LE	B	12.67	68.5																2	61	4	1	62	0	-11.5	3994.734375	-3927.765625	-1000.87890625	-9396.9296875	-1130.45129394531	-2759.2978515625	-2269.884765625	-3305.31176757813	-11.5	3413.2666015625	4917.017578125	-1381.7275390625	4590.189453125	-3186.763671875	-415.9677734375	3694.19140625	5381.11279296875	-407.184204101563	3214.32104492188	381.974426269531	301.725372314453	-11.5	7902.107421875	9767.28125	1619.58850097656	-823.543212890625	-11.5	-850.0234375	13540.533203125	-4181.6884765625	-141.282470703125	-11.5	14440.26171875	43389.18359375	-1771.97119140625	-4749.197265625	-11.5	18572.744140625	41369.55078125	4988.29443359375	-4979.189453125	-11.5	-8543.275390625	-15068.6953125	-2329.98950195313	-481.775207519531	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	2	2	3	LE	a	-5.051	12.5																2	61	4	2	63	0	-11	2929.083984375	-3290.265625	-2303.75390625	-6303.7109375	-2625.8046875	-1907.18127441406	-2294.35571289063	208.380432128906	-11	2812.625	5415.6533203125	-1437.3408203125	5251.40625	-3811.9453125	747.6748046875	1986.29846191406	4439.44775390625	-69.6174774169922	2306.52221679688	-181.222778320313	1750.60266113281	-11	7112.9189453125	6259.96484375	648.173767089844	-4109.2451171875	-11	60.7607421875	16962.60546875	-2566.21557617188	2775.34130859375	-11	18851.125	43721.7109375	750.06103515625	-5380.0126953125	-11	17158.45703125	43354.1875	3214.41186523438	-3713.17114257813	-11	-8099.443359375	-13961.78125	-1601.53210449219	625.104614257813	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	2	2	3	LE	B	14.49	29.5																2	61	4	3	64	0	-10.5	2935.228515625	-1280.859375	-3705.900390625	-3110.3984375	-2802.78686523438	404.767852783203	-2412.888671875	3601.76684570313	-10.5	2715.134765625	3231.4638671875	-633.146484375	4179.6865234375	-4543.6884765625	1838.9111328125	652.909912109375	1269.11022949219	897.702026367188	385.714233398438	-799.8291015625	2582.79248046875	-10.5	4058.060546875	1565.22705078125	-2152.99194335938	-7607.58837890625	-10.5	1111.70532226563	19683.93359375	-1060.39013671875	4421.76806640625	-10.5	25738.498046875	42815.2265625	4750.1552734375	-6481.02685546875	-10.5	12420.0341796875	46880.9296875	-1565.55541992188	-1932.33544921875	-10.5	-7031.67578125	-14540.3125	-386.604858398438	133.4501953125	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	3	1	1	RE	a	-10.98	27.5																3	65	1	1	66	0	-10	2965.615234375	-366.4921875	-5274.369140625	-2145.7578125	-2439.21508789063	1848.59741210938	-2549.67822265625	4505.5927734375	-10	2953.125	-881.8642578125	4.7548828125	4258.36328125	-3816.193359375	1812.341796875	-33.6513671875	-3117.3818359375	1680.61596679688	-573.650512695313	-274.674072265625	2196.27099609375	-10	1596.623046875	-2127.859375	-4372.5791015625	-9375.4208984375	-10	3357.85864257813	18622.70703125	823.73876953125	2509.42138671875	-10	27698.248046875	41525.859375	4608.369140625	-7665.1064453125	-10	8344.4541015625	48898.609375	-5591.6982421875	-1601.3125	-10	-6714.15625	-16008.515625	165.6806640625	-1358.658203125	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	3	1	1	RE	B	470.2	84																3	66	2	1	67	0	-9.5	2159.869140625	43.828125	-6884.73828125	-3149.8125	-2477.86767578125	2281.72973632813	-2576.30322265625	2970.4072265625	-9.5	5007.5419921875	-4343.05224609375	445.94140625	8193.986328125	-1228.818359375	566.3505859375	883.880859375	-6246.58544921875	2045.65075683594	1538.47436523438	1707.04248046875	680.569030761719	-9.5	934.771728515625	-2228.2900390625	-4554.12841796875	-7477.49609375	-9.5	5803.0625	13494.62890625	2386.7275390625	-2863.06298828125	-9.5	21446.544921875	42473.22265625	-2471.00048828125	-7061.79736328125	-9.5	8151.8056640625	47344.0625	-5626.1767578125	-4285.66015625	-9.5	-7483.78515625	-16484.4140625	-358.486541748047	-2126.3955078125	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	3	2	1	LE	a	-9.313	32																3	67	3	1	68	0	-9	1199.509765625	1670.953125	-7926.501953125	-4528.84375	-2658.98657226563	3007.28125	-2076.87109375	730.133483886719	-9	7987.181640625	-5448.5546875	854.5	10002.3828125	969.7822265625	-1550.2216796875	2620.28125	-6457.1767578125	2102.80615234375	2515.6123046875	3317.43701171875	-1388.83911132813	-9	885.33544921875	-237.9150390625	-3511.88916015625	-3324.9443359375	-9	5052.00146484375	8349.119140625	1207.59936523438	-7935.84423828125	-9	14093.94921875	46418.8984375	-10677.9921875	-4080.03466796875	-9	10507.48046875	42453.84375	-2558.94287109375	-9494.9921875	-9	-7849.037109375	-15589.5703125	-814.045288085938	-1548.52941894531	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	3	2	1	LE	B	700.7	84.5																3	68	4	1	69	0	-8.5	892.587890625	3698.1953125	-7349.05859375	-4724.7578125	-2335.93896484375	3788.59838867188	-380.466644287109	-380.273651123047	-8.5	10309.130859375	-4133.42236328125	1047.9853515625	6907.705078125	132.134765625	-3915.25537109375	3640.53466796875	-3916.83862304688	1840.39013671875	-400.263610839844	2294.80541992188	-3223.1474609375	-8.5	739.322387695313	503.544921875	-2289.8955078125	-236.210723876953	-8.5	2115.46264648438	6998.1953125	-2012.36376953125	-8965.546875	-8.5	13284.681640625	51169.46484375	-12687.0498046875	-665.83935546875	-8.5	13350.888671875	37278.38671875	1112.5009765625	-14265.67578125	-8.5	-7318.333984375	-14832.8671875	-543.729370117188	-781.861511230469	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	4	1	1	RE	a	-72.69	21.5																4	70	1	1	71	0	-8	1284.681640625	4836.5546875	-4996.041015625	-2998.4140625	-1400.71057128906	3706.07055664063	2456.46142578125	451.588958740234	-8	12764.8203125	-2212.29150390625	1426.14453125	4616.654296875	-2634.0673828125	-4860.7490234375	4159.4326171875	-662.810974121094	1622.38586425781	-3225.77514648438	-615.399719238281	-3471.57470703125	-8	1160.41784667969	-914.712890625	-877.503051757813	346.979217529297	-8	784.08203125	10754.65234375	-3975.251953125	-4904.52783203125	-8	18214.01171875	52259.96484375	-8253.2802734375	-590.71826171875	-8	15757.9580078125	36283.60546875	3700.26318359375	-14682.3203125	-8	-7317.49609375	-14952.4453125	-470.129516601563	-737.628356933594	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	4	1	1	RE	B	541.5	66																4	71	2	1	72	0	-7.5	1781.91796875	4263.515625	-2345.833984375	-1584.6328125	-382.721099853516	2139.345703125	5056.3251953125	1445.73876953125	-7.5	12853.7666015625	-2037.73266601563	2283.65234375	5346.2158203125	-4428.5009765625	-3756.94287109375	2642.587890625	834.071716308594	1741.72717285156	-3299.80053710938	-2719.16040039063	-1715.85241699219	-7.5	1428.84155273438	-2754.0966796875	134.229431152344	-265.325256347656	-7.5	2015.62646484375	16023.650390625	-3313.85595703125	749.015869140625	-7.5	23170.822265625	48737.99609375	-2794.080078125	-4782.419921875	-7.5	16227.734375	38664.65625	3852.03735351563	-11191.6103515625	-7.5	-8233.544921875	-15580.828125	-1066.29809570313	-1296.36328125	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	4	2	1	LE	a	-98.51	23.5																4	72	3	1	73	0	-7	1035.93359375	1882.9140625	-749.1484375	-2378.59375	-397.477752685547	-763.087951660156	6086.07421875	729.899780273438	-7	8180.3828125	-3389.3828125	3424.2431640625	6147.578125	-4122.287109375	-2300.87646484375	-2349.7177734375	376.33984375	2065.14013671875	-2369.1064453125	-2572.51342773438	480.722290039063	-7	766.862915039063	-1883.2265625	155.69970703125	746.493774414063	-7	3825.92431640625	18715.93359375	-1575.27026367188	3633.1396484375	-7	25032.07421875	45649.38671875	-505.168701171875	-8974.6806640625	-7	15227.380859375	38509.76953125	2125.11987304688	-8929.9140625	-7	-8740.080078125	-16259.171875	-1431.3779296875	-1953.75524902344	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	4	2	1	LE	B	848	68.5																4	73	4	1	74	0	-6.5	-1038.8671875	-774.515625	-721.00390625	-3267.578125	-1576.34045410156	-3508.60498046875	5147.1611328125	-419.972229003906	-6.5	2100.6455078125	-3662.38696289063	3815.41357421875	4167.53125	-2380.091796875	-1711.75244140625	-7965.73095703125	146.344116210938	1799.85998535156	-3093.80444335938	-718.437194824219	1668.61645507813	-6.5	568.066040039063	1041.47314453125	201.760620117188	3367.34985351563	-6.5	3834.24169921875	19449.041015625	-1142.33850097656	3424.509765625	-6.5	24779.126953125	46307.57421875	-1359.57275390625	-9564.16796875	-6.5	14652.1201171875	34418.71875	492.184997558594	-10125.60546875	-6.5	-8277.509765625	-16494.7890625	-986.64697265625	-2162.75268554688	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	5	1	1	RE	a	-130.5	18.5																5	75	1	1	76	0	-6	-3162.970703125	-2097.65625	-1901.859375	-2160.3828125	-2788.56079101563	-4530.00537109375	2878.23266601563	-114.332870483398	-6	-996.14111328125	-1673.15051269531	2541.7646484375	-314.333984375	-788.6484375	-2064.33447265625	-10138.06640625	1552.81323242188	254.832427978516	-5705.33642578125	1122.80883789063	1558.73669433594	-6	1774.9814453125	1547.7724609375	1174.3232421875	4151.17138671875	-6	1737.025390625	18971.7421875	-2654.62524414063	1273.52954101563	-6	23758.16015625	48129.5390625	-3628.46606445313	-8018.4541015625	-6	14691.412109375	30269.787109375	-296.230712890625	-12026.2802734375	-6	-7414.59375	-16165.65625	-131.990661621094	-1775.03503417969	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	5	1	1	RE	B	612	65.5																5	76	2	1	77	0	-5.5	-5074.0390625	-2246.7109375	-2530.986328125	-216.6875	-3476.65502929688	-3855.99096679688	1060.48510742188	1102.75170898438	-5.5	-336.05419921875	864.64453125	581.18359375	-4700.474609375	-237.3447265625	-2941.57958984375	-7901.337890625	3453.41015625	-1755.27844238281	-8023.25927734375	1760.638671875	670.803588867188	-5.5	3135.16479492188	-537.48828125	2253.59252929688	2382.390625	-5.5	1331.50537109375	17067.82421875	-3244.72021484375	-1992.59741210938	-5.5	21830.76171875	47818.140625	-6369.455078125	-7525.31396484375	-5.5	14199.400390625	28230.880859375	-949.226806640625	-12122.806640625	-5.5	-6657.892578125	-15143.484375	555.246337890625	-821.859558105469	
